"cp=1252",""
"35227","You need to get 10 rabbits in order to get the present from the Heaven. Try a little harder. I'm sure you can catch all 10. "
"35229","Come visit me if you want to help out. "
"35230","You caught 10 rabbits. I'll give you a present as promised. I bet you'll be surprised. Select the present you want from the following. "
"35232","The endless magic dungeon of Abyss was created to lock up the monsters. The monsters are stuck in a limited space they do not age. They wander around looking for a way out. Because they were locked up for so long they have something called Abyss Gem growing on their bodies. You can retrieve items from the lost Delos storage by bringing the Abyss Gem."
"35234","Choose between Lotto Event or Abyss Gem quest. "
"35240","Okay then, please bring the Abyss Gem. I'll retrieve the lost items in Delos storage for you. "
"35245","You don't have the Abyss Gem. You need Abyss Gem in order to retrieve items from the Delos storage. "
"35250","You brought the Abyss Gem. Will you use the gem? "
"35270","Okay then.. You can come look for me anytime. "
"35271","I hope this present will be useful for you. "
"35351","We have released lots of bunnies in the colony zone to commemorate Labor day. Most of these rabbits hold raffles. The ones that don't hold scrolls. If you bring me raffles, then I will give you very useful items."
"35360","Okay then.. Go get a lotto ticket. I'll give you a present when you do. "
"35365","You don't have the lotto ticket. You need to have a lotto ticket in order to get the present. "
"35370","You brought the lotto ticket. Which present do you want? "
"35380","Okay.. Come visit me anytime. "
"35543","Come back again if you ever need my help. "
"35563","Welcome to the peaceful city of Moradon!!| I'm Adien the helper for beginners. I help people on getting started. What kind of question do you have for me <selfname>?"
"35564","Character movement |W: move forward, A: turn left, S: move backward, D: turn right, Y: walk/run, E : auto walk/run, R: press R after selecting a target for auto attack, C: sit/stand (HP/MP recovery when sitting down)"
"35565","Selecting |Left click on mouse : Select target, Left Double-click : Auto attack, B: Select the nearest NPC, Z: Select the nearest enemy/monster, X: Select the nearest party member. "
"35566","Shortcut Key |U: My Status Window, I: Inventory Window, K: Skill Window, M: Map, H: Shortcut Keys, O: Show/Hide ID, F9: Toggle View, F10: View Help"
"35567","Interface |Q button: Displays the quests you can complete at your current level. |P Button: Access Power-up Store. |B Button: Open Blog."
"35568","You can return to your home nation when you finish your Esquire process here. Karus users can go to Breth Village and El Morad users can goto Piana village through the teleport gate to continue their training to become a knight. "
"35569","Karus Teleport Gate (283, 370)| El Morad Teleport Gate (336, 319)| Left click on the teleport gate and then right click to see the list of zones. You can select the zone you want to teleport to from here. The description for each zone will appear on the bottom. "
"35570","You can use the teleport gate in Moradon to teleport to the main village in each nations, Lunar Gate Entrance, Delos, and Colony Zone. You have to pay a small fee for each teleport. "
"35571","There are many NPCs here in Moradon who are waiting to help you, <selfname>. Please go visit the NPCs to receive advice and nice items. "
"35572","View Map |Press M to view the mini map on the top left-hand corner. You can check your current coordinate, ###, ###. |Green Arrow: <selfname>'s coordinate and direction, Blue Dots: NPC, Yellow Dots: Party Members, Red Dots: Monsters"
"35573","Ijin (436, 463) Arena|Go up to Ijin NPC, select and right click. A window will appear nd you can join/create a match. By hosting individual match and clan match, users can compete against one another to find out who the strongest is. "
"35574","Arendil(345, 402) Register Castle Siege War|You can check the schedule for the Castle Siege War. "
"35575","Charon (337, 386) Scrolls|Go up to the Charon, select and right click on the NPC. Select [Trade] and when the item window opens you can drag and drop your item to buy it.|You can purchase scrolls needed for upgrading items."
"35576","Anvil (337, 387)|Go up to the anvil, select and right click on it. A window will appear. Place the item and the upgrade scroll on to the window and press OK.|The item upgrade process will begin.|You can select the chat button on the item upgrade window for more information. "
"35577","Rudien (392, 403) Sundries|Go up to Rudien, select and right click on the NPC. A window will appear. Select [Trade]. When the item window appears you can purchase the item by drag & dropping them on to your inventory.|You can also choose [Repair] to repair your items with low durability. "
"35578","Jerede (464, 274) Handmade Armor|Go up to Jerede, select and right click on the NPC. A window will appear. Select [Trade]. Drag and drop the item to purchase.|Sells items that can be upgraded at the anvil. "
"35579","Amrase (281, 442) Handmade Weapons|Go up to Amrase, select and right click on the NPC. A window will appear. Select [Trade]. Drag and drop the item to purchase.|Sells items that can be upgraded at the anvil. "
"35580","Potions (264, 283), (246, 295)|Go up to Ptoi or Pabian, select and right click on the NPC. A window will appear. Select [Trade]. Drag and drop the item to purchase.|Sells holy waters and potions. Holy waters recovers HP and Potions will recover MP. "
"35581","Nauke (365, 354) Weapons| Go up to Nauke, select and right click on the NPC. A window will appear. Select [Trade]. Drag and drop the item to purchase.|Sells weapons. You can also choose [Repair] to repair your items with low durability. "
"35582","Rospel (319, 426) Armor|Go up to Rospel, select and right click on the NPC. A window will appear. Select [Trade]. Drag and drop the item to purchase.|Sells armors. You can also choose [Repair] to repair your items with low durability."
"35583","Caspy(309, 396) Accessories|Go up to Caspy, select and right click on the NPC. A window will appear. Select [Trade]. Drag and drop the item to purchase.|Sells accessories. "
"35584","Captain Kunabarl(452, 306 Moving NPC)|Go up to Captain Kunabarl, select and right click on the NPC. A window will appear.|Handles quests such as 1st Specialty(Lv10) quest, Redistribute, A duel with the Orc quest(Lv20 or above), Bandicoot Extermination quest, Gem of Bravery quest(Lv20 or above), and Battlefield quest(Lv40 or above). "
"35585","Proconsul (304, 353)|Handles quests such as the New Warrior Mission quest, Beginner Armor Upgrade quest, Goblin Armor quest, Silan Armor quest, Armor of Destruction quest, and Talia Skin quest.|Press the Q button to view the quests you can complete at your current level. "
"35586","Isaac (314, 345)|Handles quests such as the Worm Extermination quest, Gavolt Extermination quest, Collecting Silan Bones quest, Collecting Bulture Horns quest, and Wolf Man extermination quest.| Press the Q button to view the quests you can complete at your current level.  "
"35587","Guard Patrick (370, 306 Moving NPC): In charge of Fangs of Wolf Man Quest (Lv20 and up)|Offering Trader Kim (352, 311 Moving NPC): In charge of sacrificial offering item quests. (Lv20 and up)|Nashira (280, 400 Moving NPC): In charge of Relic Searcher quest. (Lv20 and up)|Priest Veronica (402, 370)|In charge of Zignon quests. (Lv20 and up)"
"35588","Priest Minerva (401, 369)|In charge of priest quests. (Lv60 andup)"
"35589","Using Skills|Press K to view your skill window. You can only use the skills that appears.|Right click on the skill icon and it'll automatically be placed on the 'hot key' window on the left side of your screen. (You can also click and drag the skill icons too)"
"35590","Using skills on hot key|There's a total of 8 hot key pages. You can access the 4 pages by using F1~F4 key. You can have up to 8 skills on each page. You can press 1~8 key to use the skills or by double clicking on the icon. "
"35591","Going to hunt |There are 3 exits out of the Moradon city. The new commers, esquires, can exit through the center gate. "
"35592","Hunting monster|One of the very first monsters you'll encounter are the earth worms. Double click with your mouse or use the Z button to select the target and press R to attack.|Press C to sit down. You can recover HP and MP while you're sitting down. "
"35593","When the monster dies, a wooden box will drop next to the carcass. You can open these box by right clicking on the box.|You can pick up the item by left clicking on the item that appears in the box.|When your inventory is full you can go sell your items to the vendor NPCs in town or deposit them into your storage by visiting the Inn Keeper. "
"35594","Welcome to Breth Village of Karus. We are the descendents of heroes that gave up their lives in the 7 year war. In 492, our forefathers followed the legendary hero Zignon and climbed over the Iskanz Mountain to set up a nation near the Luferson castle. As a descendent of the hero, it's in our blood to become the strongest knights ever. I hope my knowledge was at least a bit helpful to you. "
"35595","You can use the teleport gate to warp to different locations in the Karus nation such as Breth Village, Bellua Village, Linate Village, Lunar Valley Entrance, Kalluga Valley Entrance, Eslant Gate (Lv 40 or above), Goblin Village, and Raon Camp. "
"35596","Hunting monster|One of the very first monsters you'll encounter are the earth worms. Double click with your mouse or use the Z button to select the target and press R to attack.|Press C to sit down. You can recover HP and MP while you're sitting down. "
"35597","Type [/Seeking_Party] in your chatting window. It'll display a message over your character that shows that you are seeking party and add your name on the party seeking board. When you get into a party list of the party members will appear on the right side of your screen. Whe you want to quit party you can type [/Quit_party] in your chatting window. "
"35598","The party system allows you to hunt with many other people. It'll be more fun and you'll get to level up faster. The level difference between the party leader and the members cannot be more than 8 level."
"35599","Inn Keeper (259, 1691)|Go up to the Inn Keeper NPC. Select and right click on the NPC to view your storage. You can store/withdraw items from here.| When you click on the [Access Storage] a window will appear. The left portion is the storage, the lower portion is your inventory. Drag and drop the item to store/withdraw items. To store coins, you can click on the coin. A window will appear. You may type in the amount you want to store/withdraw and press OK. "
"35600","Shama[Healing Potion](368, 1640): Sells holy waters and potions.|Baron[Sundries](325, 1713): Sells arrows, scrolls and other consumable items.|Rawal[Magic item](256, 1723): Sells magic items. |Kamal[Accessories](257, 1716): Sells accessories.|Mori[Arms](302, 1641): Sells various arms and shields. Repairs items with low durability.|Cubense[Armor](345, 1667): Sells armors."
"35601","Great Priest Murka(278, 1681)|In charge of the holy water quest. Only for Priests with Holy Spirit points can do this.|Priests with 30 Holy Spirit point can create the Water of Life (Req. Item : Holy Water + Ingredient for Water of Life), priests with 40 Holy Spirit points can create the Water of Love (Req. Item : Holy Water + Ingredient for Water of Love), priests with 50 Holy Points can create the Water of Grace (Req. Item : Holy Water + Ingredient for Water of Grace), and priests with level 60 can create Water of Favors (Req. Item : Holy Water + Ingredient for Water of Favors)."
"35602","(Shares experience points when in party) Captain Fargo (344, 1704)|He's in charage of the Recoinaissance Report (Lv30 or above) quest and the Guardians of the 7 Keys quest (LV 50 or above). "
"35603","Knight Clerk (345, 1700)|In charge of Knights Quest(quest for clans to become a Knights : The clan must be a grade 3 clan or better.), National Points (Basic National Point quest), and Knights Stipend (Given to top 50 ranking warriors). "
"35604","Habice[Mantle](318, 1625]|In charge of Knights capes and Knights symbol."
"35605","2nd Specialty and Above 60 Level Skill Quest|Warrior Master Skaky (271, 1655 Moving NPC): In charge of Warrior Master specialty and skill quest.|Secret Agent Clarence (Bellua Village 1420, 1290): In charge of Rogue Master specialty and skill quest.|Arch Mage Drake (Linate Village 1560, 430): In charge of Magician Master specialty and skill quests. "
"35606","Minimum of 3 or maximum of 36 people can join. If in the same clan you can form a party without any level restrictions. "
"35607","Go up to Inn Keeper in Breth Village, select and right click on the NPC. Choose [Create Clan].|Type in the clan name and press OK. You'll use 500,000 coins and the clan will be created.|The new clan will be a grade 5 clan. "
"35630","There are no rewards for you to receive. "
"35640","I'm Aban, the battlefield gate keeper. |If you want to test your limits you can enter the battlefield through me. Like the [/town] command, you can use [/individual_battle] command after selecting an opponent, or if you are a clan leader you can use [/clan_battle] to challenge another clan! |Do you want to enter the battlefield? "
"35643","I'll see you later. "
"35645","You are not the head of a clan. "
"35653","You have to have 3 item slots in your inventory free in order to receive the item. "
"35662","In order to prepare for the war that may break out against the Dark Army, many of the younger generation volunteer for a place in the royal guard.|If you visit the palace please give this letter to the royal guard. This is a letter from the village people wishing them well.  "
"35664","If you are going to the palace, please take this letter with you. "
"35665","You're not fit for a job yet. Please go and gain some more experience by hunting. "
"35667","Thank you for delivering the letter. "
"35668","In order to meet the royal guard you must go to the main castle through the warp gate. "
"35670","There are no empty slots in your inventory. "
"35671","Please deliver the letter to the royal guard. "
"35700","Moradon is a safe zone where you cannot be attacked by the monsters but in order to become a true Knight you must fight off the monsters. You can start right away but it'll be better if you gain a little basic knowledge first. It'll help you train and level up a lot more faster. (Moving to hunting zone is for users w/ up to level 5.) "
"35701","Inn Keeper (366,421), (399, 393)|Go up to the Inn Keeper NPC. Select and right click on the NPC to view your storage. You can store/withdraw items from here.| When you click on the [Access Storage] a window will appear. The left portion is the storage, the lower portion is your inventory. Drag and drop the item to store/withdraw items. To store coins, you can click on the coin. A window will appear. You may type in the amount you want to store/withdraw and press OK. "
"35704","You have to level 5 or below to move to the hunting zone. "
"35705","You can choose your specialty when you reach level 10.|Visit Captain Kunabarl (452, 306 Moving NPC) and choose [I want to choose my specialty]. You'll need 3,000 coins to choose your specialty. "
"35706","Welcome to Piana Village of El Morad. We are the descendents of the heroic King Manes who defeated Patos in the 7 Year War. We must help the weak and always on the side of the good. I hope my knowledge was at least a bit helpful. "
"35707","You can use the teleport gate to warp to different location in the El Morad nation such as Piana Village, Asga Village, Raiba Village, Lunar Valley Entrance, Kalluga Valley Entrance, Eslante Entrance (LV40 or above), and Goblin Village. "
"35708","There are many NPCs here in Piana Village, El Morad, who are waiting to help you, <selfname>. Please go visit the NPCs to receive advice and nice items. "
"35709","There are many NPCs here in Breth Village, Karus, who are waiting to help you, <selfname>. Please go visit the NPCs to receive advice and nice items. "
"35710","Inn Keeper (1763, 325)|Go up to the Inn Keeper NPC. Select and right click on the NPC to view your storage. You can store/withdraw items from here.| When you click on the [Access Storage] a window will appear. The left portion is the storage, the lower portion is your inventory. Drag and drop the item to store/withdraw items. To store coins, you can click on the coin. A window will appear. You may type in the amount you want to store/withdraw and press OK. "
"35711","Ruber[Healing Potion](1626, 355): Sells holy waters and potions.|Yasbal[Sundries](1659, 342): Sells arrows, scrolls and other consumable items.|Nanggis[Magic Item](1720, 289): Sells magic items. |Drafe[Accessories](1727, 290): Sells accessories.|Pallus[Arms](1726, 363): Sells various arms and shields. Repairs items with low durability.|Tyroon[Armor](1686, 399): Sells armors."
"35712","Great Priest Helena(1766, 345)|In charge of the holy water quest. Only for Priests with Holy Spirit points can do this.|Priests with 30 Holy Spirit point can create the Water of Life (Req. Item : Holy Water + Ingredient for Water of Life), priests with 40 Holy Spirit points can create the Water of Love (Req. Item : Holy Water + Ingredient for Water of Love), priests with 50 Holy Points can create the Water of Grace (Req. Item : Holy Water + Ingredient for Water of Grace), and priests with level 60 can create Water of Favors (Req. Item : Holy Water + Ingredient for Water of Favors)."
"35713","(Shares experience points when in party) Captain Falkwine (1704, 333)|He's in charage of the Recoinaissance Report (Lv30 or above) quest and the Guardians of the 7 Keys quest (Lv50 or above). "
"35714","Knight Clerk (1709, 337)|In charge of Knights Quest(quest for clans to become a Knights : The clan must be a grade 3 clan or better.), National Points (Basic National Point quest), and Knights Stipend (Given to top 50 ranking warriors). "
"35715","Sabice[Mantle](1672, 329)|In charge of Knights capes and Knights symbol."
"35716","2nd Specialty and Above 60 Level Skill Quest|Warrior Master Skaky (1703, 380) Moving NPC): In charge of Warrior Master specialty and skill quest.|Secret Agent Clarence (Asga Village 1090, 1130): In charge of Rogue Master specialty and skill quest.|Arch Mage Drake (Raiba Village 750, 1750): In charge of Magician Master specialty and skill quests."
"35717","Minimum of 3 or maximum of 36 people can join. If in the same clan you can form a party without any level restrictions. "
"35718","Go up to Inn Keeper in Piana Village, select and right click on the NPC. Choose [Create Clan].|Type in the clan name and press OK. You'll use 500,000 coins and the clan will be created.|The new clan will be a grade 5 clan. "
"35733","My name is Joyce. I'm in charge of the siege war weapon training. "
"35734","There are weapons like leader car, ladder truck, catapult, and battering rams for siege war. Learn how to use each of them to winthe war and become the lord of the castle. "
"35735","Only a clan leader can transform into a leader car. When you click on the  leader car key item in inventory its icon will appear in shortcut window.|You can press the shortcut key to transform into a leader car.|The defending side can transform anywhere in the map. The attacking side can tranform anywhere except inside the castle. "
"35736","The leader car performs a supporting role for its clan members by increasing their HP and defense rate. The scrolls the leader car can use are as follows. "
"35737","HP Scroll|Recover 2000HP for Knights that are standing within 30 meters from you|Defense Scroll|Increase Defense by 500 for 45 seconds for Knights that are standing within 30 meters from you|Resistance Scroll|Increase Resistance by 250 for 80 seconds for Knights that are standing within 30 meters from you|Attack Speed Scroll|Increase attack speed by 30% for 45 seconds for Knights that are standing within 30 meters from you|Persistent HP Scroll|Recover 4500HP for 30 seconds for Knights that are standing within 30 meters from you|Magic Attack Scroll|Increase Magic Attack Power by 30% for 45 seconds for Knights that are standing within 30 meters from you|Physical Attack Scroll|Increase Physical Attack Power by 30% for 45 seconds for Knights that are standing within 30 meters from you"
"35738","When you click on the catapult key item in your inventory its icon will appear in the shortcut key window.|You can press the shortcut key to transform into a catapult.|The defending side can transform anywhere in the map. The attacking side can tranform anywhere except inside the castle. "
"35739","A power gauge will appear in the top center of the screen. You can use the power gauge bar to adjust the flying distance of the shell. The catapult can use the following shells for its ammo."
"35740","MP Shell|Decreases 50% of MP from characters that are standing within 5 meters from the explosion.|Super MP Shell|Decreases 20% of MP from characters that are standing within 10 meters from the explosion.|Durability Shell|Decreases 1000 durability from characters that are standing 5 meters from the explosion|Super durability shell|Decreases 2000 durability from characters that are standing within 10 meters from the explosion|HP Shell|Decreases 50% of HP from characters that are standing within 5 meters from the explosion|Super HP Shell|Decreases 20% of HP from characters that are standing within 10 meters from the explosion|Nova HP Shell| Decreases 900~1800 of HP from characters that are standing within 10 meters from the explosion|Practice Cannon Ball|Used only for practices. Does not cause any damage. "
"35741","When you click on the ladder truck key item in your inventory its icon will appear in the shortcut key window.|You can press the shortcut key to transform into a ladder truck.|The defending side can transform anywhere in the map. The attacking side can tranform anywhere except inside the castle. "
"35742","When you transform into a ladder truck a skill icon will appear on your skill window.|Extend ladder|Extend ladder on to the castle wall.|Retract ladder|Retract ladder from castle war. "
"35743","The scroll a ladder truck can use increases the resistance of the clan members that are standing within 30 meters of the truck. The resistance will be increased by 250 for 60 seconds. "
"35744","When you click on the battering ram key item in your inventory its icon will appear in the shortcut key window.|You can press the shortcut key to transform into a battering ram.|The defending side can transform anywhere in the map. The attacking side can tranform anywhere except inside the castle. "
"35745","When you transform into a battering ram a skill icon will appear on your skill window.|Destroy Gate|You can only attack the castle gate. Inflict 3,500 damage to the caslte gate disregarding its defense and resistance."
"40001","You can only do this when you have 0 national points. "
"40006","You do not have enough manner points. You need 20 manner points in for 100 national points. "
"40008","This is the 1st basement. Please select your destination. "
"40015","You need Key of Abyss to teleport to different floors. You can get the key from the monster locked up in this room. "
"40017","You have the key to teleport to the 10th floor. "
"40040","You have the selected key. You can teleport to the 10th floor from here. "
"40042","You have the 9th key of Abyss. You can move down to the 90th floor of the dungeon. "
"40044","You have the 8th key of Abyss. You can move down to the 80th floor of the dungeon. "
"40046","You have the 7th key of Abyss. You can move down to the 70th floor of the dungeon. "
"40048","You have the 6th key of Abyss. You can move down to the 60th floor of the dungeon. "
"40050","You have the 5th key of Abyss. You can move down to the 50th floor of the dungeon. "
"40052","You have the Hell Abyss 16th Floor Key. You can move down to the 16th floor of the dungeon. "
"40054","You have the Hell Abyss 8th Floor Key. You can move down to the 8th floor of the dungeon. "
"40056","You have the Desperation Abyss 20th floor key. You can move down to the 20th floor of the dungeon. "
"40058","You have the Desperation Abyss 10th floor key. You can move down to the 10th floor of the dungeon. "
"40071","You have the Key of Hell. There's a gateway to Hell Abyss in this room. "
"40090","You can move down to the floors below or exit Abyss Dungeon. "
"40108","This is the 2nd basement. Please select your destination. "
"40208","This is the 3rd basement. Please select your destination. "
"40308","This is the 4th basement. Please select your destination. "
"40408","This is the 5th basement. Please select your destination. "
"40508","This is the 6th basement. Please select your destination. "
"40608","This is the 7th basement. Please select your destination. "
"40708","This is the 8th basement. Please select your destination. "
"40808","This is the 9th basement. Please select your destination. "
"40908","This is the 10th basement. Please select your destination. "
"41008","This is the 11th basement. Please select your destination. "
"41108","This is the 12th basement. Please select your destination. "
"41208","This is the 13th basement. Please select your destination. "
"41308","This is the 14th basement. Please select your destination. "
"41408","This is the 15th basement. Please select your destination. "
"41508","This is the 16th basement. Please select your destination. "
"41608","This is the 17th basement. Please select your destination. "
"41708","This is the 18th basement. Please select your destination. "
"41808","This is the 19th basement. Please select your destination. "
"41908","This is the 20th basement. Please select your destination. "
